mesh1_1A	% X	Y	mf.normB (T)	mesh2	% X	Y	mf.normB (T)	mesh3	% X	Y	mf.normB (T)	mesh4	% X	Y	mf.normB (T)	mesh5	% X	Y	mf.normB
	-3.623931624	0.3	2.51E-04		-3.623931624	0.3	2.54E-04		-3.623931624	0.3	6.86E-05		-3.623931624	0.3	4.01E-05		-3.623931624	0.3	2.84E-05
	-3.487179487	0.3	2.27E-04		-3.487179487	0.3	2.68E-04		-3.487179487	0.3	7.15E-05		-3.487179487	0.3	4.11E-05		-3.487179487	0.3	2.89E-05
	-3.35042735	0.3	2.00E-04		-3.35042735	0.3	2.72E-04		-3.35042735	0.3	7.46E-05		-3.35042735	0.3	4.21E-05		-3.35042735	0.3	2.94E-05
	-3.213675214	0.3	1.78E-04		-3.213675214	0.3	2.71E-04		-3.213675214	0.3	7.81E-05		-3.213675214	0.3	4.31E-05		-3.213675214	0.3	2.99E-05
	-3.076923077	0.3	1.59E-04		-3.076923077	0.3	2.70E-04		-3.076923077	0.3	8.19E-05		-3.076923077	0.3	4.43E-05		-3.076923077	0.3	3.04E-05
	-2.94017094	0.3	1.44E-04		-2.94017094	0.3	2.67E-04		-2.94017094	0.3	8.61E-05		-2.94017094	0.3	4.54E-05		-2.94017094	0.3	3.10E-05
	-2.803418803	0.3	1.32E-04		-2.803418803	0.3	2.66E-04		-2.803418803	0.3	9.08E-05		-2.803418803	0.3	4.66E-05		-2.803418803	0.3	3.15E-05
	-2.666666667	0.3	1.22E-04		-2.666666667	0.3	2.64E-04		-2.666666667	0.3	9.61E-05		-2.666666667	0.3	4.79E-05		-2.666666667	0.3	3.21E-05
	-2.52991453	0.3	1.13E-04		-2.52991453	0.3	2.64E-04		-2.52991453	0.3	1.02E-04		-2.52991453	0.3	4.93E-05		-2.52991453	0.3	3.27E-05
	-2.393162393	0.3	1.06E-04		-2.393162393	0.3	2.63E-04		-2.393162393	0.3	1.09E-04		-2.393162393	0.3	5.08E-05		-2.393162393	0.3	3.33E-05
	-2.256410256	0.3	9.95E-05		-2.256410256	0.3	2.64E-04		-2.256410256	0.3	1.17E-04		-2.256410256	0.3	5.23E-05		-2.256410256	0.3	3.40E-05
	-2.11965812	0.3	9.39E-05		-2.11965812	0.3	2.65E-04		-2.11965812	0.3	1.26E-04		-2.11965812	0.3	5.40E-05		-2.11965812	0.3	3.47E-05
	-1.982905983	0.3	8.88E-05		-1.982905983	0.3	2.66E-04		-1.982905983	0.3	1.37E-04		-1.982905983	0.3	5.57E-05		-1.982905983	0.3	3.54E-05
	-1.846153846	0.3	8.43E-05		-1.846153846	0.3	2.68E-04		-1.846153846	0.3	1.50E-04		-1.846153846	0.3	5.76E-05		-1.846153846	0.3	3.61E-05
	-1.709401709	0.3	8.02E-05		-1.709401709	0.3	2.70E-04		-1.709401709	0.3	1.66E-04		-1.709401709	0.3	5.96E-05		-1.709401709	0.3	3.69E-05
	-1.435897436	0.3	7.32E-05		-1.435897436	0.3	2.71E-04		-1.435897436	0.3	2.10E-04		-1.435897436	0.3	6.41E-05		-1.435897436	0.3	3.86E-05
	-1.299145299	0.3	7.02E-05		-1.299145299	0.3	2.63E-04		-1.299145299	0.3	2.37E-04		-1.299145299	0.3	6.66E-05		-1.299145299	0.3	3.94E-05
	-1.162393162	0.3	6.74E-05		-1.162393162	0.3	2.45E-04		-1.162393162	0.3	2.59E-04		-1.162393162	0.3	6.94E-05		-1.162393162	0.3	4.04E-05
	-0.888888889	0.3	6.24E-05		-0.888888889	0.3	1.93E-04		-0.888888889	0.3	2.72E-04		-0.888888889	0.3	7.56E-05		-0.888888889	0.3	4.24E-05
	-0.752136752	0.3	6.02E-05		-0.752136752	0.3	1.72E-04		-0.752136752	0.3	2.71E-04		-0.752136752	0.3	7.91E-05		-0.752136752	0.3	4.34E-05
	-0.615384615	0.3	5.82E-05		-0.615384615	0.3	1.55E-04		-0.615384615	0.3	2.69E-04		-0.615384615	0.3	8.31E-05		-0.615384615	0.3	4.45E-05
	-0.478632479	0.3	5.62E-05		-0.478632479	0.3	1.41E-04		-0.478632479	0.3	2.67E-04		-0.478632479	0.3	8.74E-05		-0.478632479	0.3	4.57E-05
	-0.341880342	0.3	5.44E-05		-0.341880342	0.3	1.29E-04		-0.341880342	0.3	2.65E-04		-0.341880342	0.3	9.23E-05		-0.341880342	0.3	4.70E-05
	0.068376068	0.3	4.97E-05		0.068376068	0.3	1.04E-04		0.068376068	0.3	2.63E-04		0.068376068	0.3	1.11E-04		0.068376068	0.3	5.12E-05
	0.205128205	0.3	4.83E-05		0.205128205	0.3	9.78E-05		0.205128205	0.3	2.64E-04		0.205128205	0.3	1.19E-04		0.205128205	0.3	5.28E-05
	0.341880342	0.3	4.70E-05		0.341880342	0.3	9.23E-05		0.341880342	0.3	2.65E-04		0.341880342	0.3	1.29E-04		0.341880342	0.3	5.44E-05
	0.478632479	0.3	4.57E-05		0.478632479	0.3	8.74E-05		0.478632479	0.3	2.67E-04		0.478632479	0.3	1.41E-04		0.478632479	0.3	5.62E-05
	0.615384615	0.3	4.45E-05		0.615384615	0.3	8.31E-05		0.615384615	0.3	2.69E-04		0.615384615	0.3	1.55E-04		0.615384615	0.3	5.82E-05
	0.752136752	0.3	4.34E-05		0.752136752	0.3	7.91E-05		0.752136752	0.3	2.71E-04		0.752136752	0.3	1.72E-04		0.752136752	0.3	6.02E-05
	0.888888889	0.3	4.23E-05		0.888888889	0.3	7.56E-05		0.888888889	0.3	2.72E-04		0.888888889	0.3	1.93E-04		0.888888889	0.3	6.24E-05
	1.025641026	0.3	4.13E-05		1.025641026	0.3	7.23E-05		1.025641026	0.3	2.70E-04		1.025641026	0.3	2.18E-04		1.025641026	0.3	6.48E-05
	1.162393162	0.3	4.04E-05		1.162393162	0.3	6.94E-05		1.162393162	0.3	2.59E-04		1.162393162	0.3	2.45E-04		1.162393162	0.3	6.74E-05
	1.299145299	0.3	3.94E-05		1.299145299	0.3	6.66E-05		1.299145299	0.3	2.37E-04		1.299145299	0.3	2.63E-04		1.299145299	0.3	7.02E-05
	1.435897436	0.3	3.86E-05		1.435897436	0.3	6.41E-05		1.435897436	0.3	2.10E-04		1.435897436	0.3	2.71E-04		1.435897436	0.3	7.32E-05
	1.572649573	0.3	3.77E-05		1.572649573	0.3	6.18E-05		1.572649573	0.3	1.86E-04		1.572649573	0.3	2.72E-04		1.572649573	0.3	7.66E-05
	1.709401709	0.3	3.69E-05		1.709401709	0.3	5.96E-05		1.709401709	0.3	1.66E-04		1.709401709	0.3	2.70E-04		1.709401709	0.3	8.02E-05
	1.846153846	0.3	3.61E-05		1.846153846	0.3	5.76E-05		1.846153846	0.3	1.50E-04		1.846153846	0.3	2.68E-04		1.846153846	0.3	8.43E-05
	1.982905983	0.3	3.54E-05		1.982905983	0.3	5.57E-05		1.982905983	0.3	1.37E-04		1.982905983	0.3	2.66E-04		1.982905983	0.3	8.88E-05
	2.11965812	0.3	3.47E-05		2.11965812	0.3	5.40E-05		2.11965812	0.3	1.26E-04		2.11965812	0.3	2.65E-04		2.11965812	0.3	9.39E-05
	2.256410256	0.3	3.40E-05		2.256410256	0.3	5.23E-05		2.256410256	0.3	1.17E-04		2.256410256	0.3	2.64E-04		2.256410256	0.3	9.96E-05
	2.393162393	0.3	3.33E-05		2.393162393	0.3	5.08E-05		2.393162393	0.3	1.09E-04		2.393162393	0.3	2.63E-04		2.393162393	0.3	1.06E-04
	2.52991453	0.3	3.27E-05		2.52991453	0.3	4.93E-05		2.52991453	0.3	1.02E-04		2.52991453	0.3	2.64E-04		2.52991453	0.3	1.13E-04
	2.666666667	0.3	3.21E-05		2.666666667	0.3	4.79E-05		2.666666667	0.3	9.61E-05		2.666666667	0.3	2.64E-04		2.666666667	0.3	1.22E-04
	2.803418803	0.3	3.15E-05		2.803418803	0.3	4.66E-05		2.803418803	0.3	9.08E-05		2.803418803	0.3	2.66E-04		2.803418803	0.3	1.32E-04
	2.94017094	0.3	3.10E-05		2.94017094	0.3	4.54E-05		2.94017094	0.3	8.61E-05		2.94017094	0.3	2.67E-04		2.94017094	0.3	1.45E-04
	3.076923077	0.3	3.04E-05		3.076923077	0.3	4.43E-05		3.076923077	0.3	8.19E-05		3.076923077	0.3	2.70E-04		3.076923077	0.3	1.59E-04
	3.213675214	0.3	2.99E-05		3.213675214	0.3	4.31E-05		3.213675214	0.3	7.81E-05		3.213675214	0.3	2.71E-04		3.213675214	0.3	1.78E-04
	3.35042735	0.3	2.94E-05		3.35042735	0.3	4.21E-05		3.35042735	0.3	7.46E-05		3.35042735	0.3	2.72E-04		3.35042735	0.3	2.00E-04
	3.487179487	0.3	2.89E-05		3.487179487	0.3	4.11E-05		3.487179487	0.3	7.15E-05		3.487179487	0.3	2.68E-04		3.487179487	0.3	2.27E-04
	3.623931624	0.3	2.84E-05		3.623931624	0.3	4.01E-05		3.623931624	0.3	6.86E-05		3.623931624	0.3	2.53E-04		3.623931624	0.3	2.51E-04
	3.760683761	0.3	2.80E-05		3.760683761	0.3	3.92E-05		3.760683761	0.3	6.59E-05		3.760683761	0.3	2.29E-04		3.760683761	0.3	2.67E-04
	3.897435897	0.3	2.75E-05		3.897435897	0.3	3.84E-05		3.897435897	0.3	6.34E-05		3.897435897	0.3	2.03E-04		3.897435897	0.3	2.72E-04
	4.034188034	0.3	2.71E-05		4.034188034	0.3	3.75E-05		4.034188034	0.3	6.12E-05		4.034188034	0.3	1.80E-04		4.034188034	0.3	2.72E-04
	4.170940171	0.3	2.67E-05		4.170940171	0.3	3.67E-05		4.170940171	0.3	5.91E-05		4.170940171	0.3	1.61E-04		4.170940171	0.3	2.70E-04
	4.307692308	0.3	2.63E-05		4.307692308	0.3	3.60E-05		4.307692308	0.3	5.71E-05		4.307692308	0.3	1.46E-04		4.307692308	0.3	2.67E-04
	4.444444444	0.3	2.59E-05		4.444444444	0.3	3.52E-05		4.444444444	0.3	5.52E-05		4.444444444	0.3	1.33E-04		4.444444444	0.3	2.66E-04
	4.581196581	0.3	2.55E-05		4.581196581	0.3	3.45E-05		4.581196581	0.3	5.35E-05		4.581196581	0.3	1.23E-04		4.581196581	0.3	2.64E-04
	4.717948718	0.3	2.51E-05		4.717948718	0.3	3.39E-05		4.717948718	0.3	5.19E-05		4.717948718	0.3	1.14E-04		4.717948718	0.3	2.64E-04
	4.854700855	0.3	2.48E-05		4.854700855	0.3	3.32E-05		4.854700855	0.3	5.04E-05		4.854700855	0.3	1.07E-04		4.854700855	0.3	2.63E-04
	4.991452991	0.3	2.44E-05		4.991452991	0.3	3.26E-05		4.991452991	0.3	4.90E-05		4.991452991	0.3	1.00E-04		4.991452991	0.3	2.64E-04
	5.128205128	0.3	2.41E-05		5.128205128	0.3	3.20E-05		5.128205128	0.3	4.76E-05		5.128205128	0.3	9.45E-05		5.128205128	0.3	2.65E-04
	5.264957265	0.3	2.37E-05		5.264957265	0.3	3.14E-05		5.264957265	0.3	4.63E-05		5.264957265	0.3	8.94E-05		5.264957265	0.3	2.66E-04
	5.401709402	0.3	2.34E-05		5.401709402	0.3	3.08E-05		5.401709402	0.3	4.51E-05		5.401709402	0.3	8.49E-05		5.401709402	0.3	2.68E-04
	5.538461538	0.3	2.31E-05		5.538461538	0.3	3.03E-05		5.538461538	0.3	4.40E-05		5.538461538	0.3	8.08E-05		5.538461538	0.3	2.70E-04
	5.675213675	0.3	2.28E-05		5.675213675	0.3	2.98E-05		5.675213675	0.3	4.29E-05		5.675213675	0.3	7.71E-05		5.675213675	0.3	2.72E-04
	5.811965812	0.3	2.25E-05		5.811965812	0.3	2.93E-05		5.811965812	0.3	4.18E-05		5.811965812	0.3	7.37E-05		5.811965812	0.3	2.72E-04
	5.948717949	0.3	2.22E-05		5.948717949	0.3	2.88E-05		5.948717949	0.3	4.09E-05		5.948717949	0.3	7.06E-05		5.948717949	0.3	2.65E-04
	6.085470085	0.3	2.19E-05		6.085470085	0.3	2.83E-05		6.085470085	0.3	3.99E-05		6.085470085	0.3	6.78E-05		6.085470085	0.3	2.47E-04
	6.222222222	0.3	2.17E-05		6.222222222	0.3	2.79E-05		6.222222222	0.3	3.90E-05		6.222222222	0.3	6.52E-05		6.222222222	0.3	2.21E-04
	6.358974359	0.3	2.14E-05		6.358974359	0.3	2.74E-05		6.358974359	0.3	3.82E-05		6.358974359	0.3	6.28E-05		6.358974359	0.3	1.95E-04
	6.495726496	0.3	2.11E-05		6.495726496	0.3	2.70E-05		6.495726496	0.3	3.73E-05		6.495726496	0.3	6.06E-05		6.495726496	0.3	1.74E-04
	6.632478632	0.3	2.09E-05		6.632478632	0.3	2.66E-05		6.632478632	0.3	3.66E-05		6.632478632	0.3	5.85E-05		6.632478632	0.3	1.56E-04
	6.769230769	0.3	2.06E-05		6.769230769	0.3	2.62E-05		6.769230769	0.3	3.58E-05		6.769230769	0.3	5.66E-05		6.769230769	0.3	1.42E-04
	6.905982906	0.3	2.04E-05		6.905982906	0.3	2.58E-05		6.905982906	0.3	3.51E-05		6.905982906	0.3	5.48E-05		6.905982906	0.3	1.30E-04
	7.042735043	0.3	2.01E-05		7.042735043	0.3	2.54E-05		7.042735043	0.3	3.44E-05		7.042735043	0.3	5.31E-05		7.042735043	0.3	1.20E-04
	7.179487179	0.3	1.99E-05		7.179487179	0.3	2.51E-05		7.179487179	0.3	3.37E-05		7.179487179	0.3	5.15E-05		7.179487179	0.3	1.12E-04
	7.316239316	0.3	1.97E-05		7.316239316	0.3	2.47E-05		7.316239316	0.3	3.31E-05		7.316239316	0.3	5.00E-05		7.316239316	0.3	1.05E-04
	7.452991453	0.3	1.95E-05		7.452991453	0.3	2.44E-05		7.452991453	0.3	3.25E-05		7.452991453	0.3	4.86E-05		7.452991453	0.3	9.85E-05
	7.58974359	0.3	1.92E-05		7.58974359	0.3	2.40E-05		7.58974359	0.3	3.19E-05		7.58974359	0.3	4.73E-05		7.58974359	0.3	9.30E-05
	7.726495726	0.3	1.90E-05		7.726495726	0.3	2.37E-05		7.726495726	0.3	3.13E-05		7.726495726	0.3	4.60E-05		7.726495726	0.3	8.80E-05
	7.863247863	0.3	1.88E-05		7.863247863	0.3	2.34E-05		7.863247863	0.3	3.07E-05		7.863247863	0.3	4.48E-05		7.863247863	0.3	8.36E-05
	8	0.3	1.86E-05		8	0.3	2.31E-05		8	0.3	3.02E-05		8	0.3	4.37E-05		8	0.3	7.97E-05
