R1 [m],C [m],Bm [T]
0.9,0.55,25.884999999999998
0.9,0.5561224489795918,25.85648033982439
0.9,0.5622448979591838,25.828791073447285
0.9,0.5683673469387756,25.801859221072846
0.9,0.5744897959183674,25.775611802905246
0.9,0.5806122448979593,25.749975839148654
0.9,0.5867346938775511,25.724878350007216
0.9,0.5928571428571429,25.700246355685127
0.9,0.5989795918367348,25.676006876386538
0.9,0.6051020408163266,25.652086932315612
0.9,0.6112244897959184,25.628413543676523
0.9,0.6173469387755103,25.60491373067344
0.9,0.6234693877551021,25.581514513510527
0.9,0.6295918367346939,25.558142912391943
0.9,0.6357142857142858,25.534725947521864
0.9,0.6418367346938776,25.511190639104456
0.9,0.6479591836734694,25.48746400734388
0.9,0.6540816326530613,25.463489256177276
0.9,0.6602040816326531,25.43939772543753
0.9,0.6663265306122449,25.41544213295481
0.9,0.6724489795918367,25.39187721952588
0.9,0.6785714285714286,25.36895772594752
0.9,0.6846938775510204,25.346938393016515
0.9,0.6908163265306122,25.326073961529637
0.9,0.6969387755102041,25.306619172283657
0.9,0.7030612244897959,25.2888105211264
0.9,0.7091836734693877,25.272464870079645
0.9,0.7153061224489796,25.256979447339116
0.9,0.7214285714285714,25.241733236151603
0.9,0.7275510204081632,25.226105219763873
0.9,0.7336734693877551,25.20947438142271
0.9,0.7397959183673469,25.19121970437488
0.9,0.7459183673469387,25.170720171867167
0.9,0.7520408163265306,25.14736229802208
0.9,0.7581632653061224,25.12098444950658
0.9,0.7642857142857142,25.09212536443149
0.9,0.7704081632653061,25.061384027913537
0.9,0.7765306122448979,25.029359425069487
0.9,0.7826530612244897,24.996650541016074
0.9,0.7887755102040817,24.96385636087004
0.9,0.7948979591836735,24.931575869748144
0.9,0.8010204081632653,24.90040805276713
0.9,0.8071428571428572,24.87095189504373
0.9,0.813265306122449,24.8438063816947
0.9,0.8193877551020408,24.819570497836786
0.9,0.8255102040816327,24.798843228586726
0.9,0.8316326530612245,24.782223559061272
0.9,0.8377551020408163,24.770310474377172
0.9,0.8438775510204082,24.763702959651162
0.9,0.85,24.762999999999998
0.9081632653061225,0.55,25.785397103640094
